3 3	We had to drive away our car immediately .	B-SPATIAL_ENTITY O O B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL I-MOTION_SIGNAL O O	B-mover O O B-trigger O O O O O
35 35	Last Friday a colleague asked me if I was going away for the weekend – I said I had not planned anything – but it set me thinking and I quickly resolved to have a go at the nearest incomplete point to Kosovo – 570 km as the crow flies – 850 by via-Michelin – in Romania .	O O O O O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O B-MOTION B-MOTION_SIGNAL O O O O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O O O O O O O O B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY O O O O O B-MOTION B-MOTION_SIGNAL O O O B-PLACE O B-PLACE O B-MEASURE I-MEASURE O O O O O B-MEASURE O O O B-SPATIAL_SIGNAL B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-mover O O O O O B-trigger O O O O O O O O O O O O O O O O O O O O O O
2 2	As I drove through the villages there were many people walking to the nearest village for the Saturday night dance .	O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-PLACE O O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O O B-PLACE O O O O B-NONMOTION_EVENT O	O B-mover B-trigger O O O O O O O O O O O O O O O O O O
0 0	In the village Ciuperceni we took the direction to Godinesti and followed finally we followed the sign to Paraul de Vale .	B-SPATIAL_SIGNAL O B-PLACE B-PLACE B-SPATIAL_ENTITY B-MOTION O B-PATH B-MOTION_SIGNAL B-PLACE O O O B-SPATIAL_ENTITY B-MOTION O B-SPATIAL_ENTITY B-MOTION_SIGNAL B-PLACE I-PLACE I-PLACE O	B-trigger O B-landmark O O B-trajector O O O O O O O O O O O O O O O O
22 22	Not for the first time on this trip , I wondered if future generations would be able to enjoy the same place where I was standing .	O O O O O O O O O B-SPATIAL_ENTITY O O O O O O O O O O O B-PLACE B-SPATIAL_SIGNAL B-SPATIAL_ENTITY O B-NONMOTION_EVENT O	O O O O O O O O O O O O O O O O O O O O O B-landmark B-trigger O O B-trajector O
27 27	A sail from Panama to Colombia Saturday , May 27th , 2006 As there are no roads between Panama and Colombia , I spent a few days in the city of Colon looking for a boat to Colombia .	O O O O O O O O O O O O O O O O B-PATH B-SPATIAL_SIGNAL B-PLACE O B-PLACE O B-SPATIAL_ENTITY B-NONMOTION_EVENT O O O B-SPATIAL_SIGNAL O B-PLACE O B-PLACE O O O O O B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O B-trajector O O O B-trigger O O O B-landmark O O O O O O O
39 39	I gave two school presentations , attended a conference on sustainable transportation , visited a team designing bike routes for Lima , met with people styding the effects of global warming in Peru , spent some time hanging out at the South American Explorer ’s clubhouse , and also tried to be a tourist for two days , visiting museums .	B-SPATIAL_ENTITY O O O B-NONMOTION_EVENT O B-NONMOTION_EVENT O B-NONMOTION_EVENT O O O O B-MOTION O B-SPATIAL_ENTITY O O B-PATH B-SPATIAL_SIGNAL B-PLACE O B-MOTION O B-SPATIAL_ENTITY O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL B-PLACE O O O O B-NONMOTION_EVENT I-NONMOTION_EVENT B-SPATIAL_SIGNAL O O O O O B-PLACE O O O O O O O O O O O O B-MOTION B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-trajector I-trajector B-trigger O O O O O B-landmark O O O O O O O O O O O O O O O
16 16	Hidden in the fog , Andres charged ahead , and I followed through a strange forest of dwarf palm like plants , which can be 100 years old even though they stand only a few feet tall .	O B-SPATIAL_SIGNAL O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O O B-PLACE B-SPATIAL_SIGNAL O O O B-SPATIAL_ENTITY O O O O O O O O O B-SPATIAL_ENTITY O O O B-MEASURE I-MEASURE O O	O O O O O O O O O O O O O O O B-landmark B-trigger O O O B-trajector O O O O O O O O O O O O O O O O O
12 12	It will cause water problems , deadly storms , agricultural losses , rising sea level , heat waves , and major extinctions on land and in the oceans .	O O O O O O O O O O O O B-MOTION O B-PATH O O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL B-PLACE O B-SPATIAL_SIGNAL O B-PLACE O	O O O O O O O O O O O O B-trigger O B-mover O O O O O O O O O O O O O O
7 7	During my week in Lima , I crossed the city several times , logging 150 miles on my bicycle .	O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL B-PLACE O B-SPATIAL_ENTITY B-MOTION O B-PLACE O O O O B-MEASURE I-MEASURE B-MOTION_SIGNAL I-MOTION_SIGNAL I-MOTION_SIGNAL O	O O O O O O B-mover B-trigger O O O O O O O O O O O O
4 4	Along the valley Hondol at the right side we found an abandoned mine and at only 50 meters we parked the car .	B-SPATIAL_SIGNAL O B-PATH B-PATH B-SPATIAL_SIGNAL O O B-PATH B-SPATIAL_ENTITY B-NONMOTION_EVENT O O B-PLACE O B-SPATIAL_SIGNAL O B-MEASURE I-MEASURE B-SPATIAL_ENTITY B-NONMOTION_EVENT O B-SPATIAL_ENTITY O	O O O O B-trigger O O B-landmark O B-trajector O O O O O O O O O O O O O
27 27	We drove through the cities of Urziceni , Buzau , Ramnicu Sarat and , after three hours of driving and 200 km , we reached Focsani , at 35 km from the confluence point , in the county of Vrancea We continued our journey , heading west , towards Panciu .	B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-PLACE O B-PLACE O B-PLACE O B-PLACE I-PLACE O O O O O O B-MOTION O B-MEASURE I-MEASURE O B-SPATIAL_ENTITY B-MOTION B-PLACE O B-SPATIAL_SIGNAL B-MEASURE I-MEASURE O O O B-PLACE O B-SPATIAL_SIGNAL O B-PLACE O B-PLACE B-SPATIAL_ENTITY O O B-MOTION O B-MOTION B-MOTION_SIGNAL O B-MOTION_SIGNAL B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O B-trajector O B-trigger O O O O O O O O O O O O O O O O O O O O O O O
9 9	In this picture notice also a small bridge , over the main river of the area , Agrij , that flows just between the houses .	O O O O O O O B-PATH O B-SPATIAL_SIGNAL O O B-PATH O O B-PLACE O B-PATH O O B-MOTION O B-MOTION_SIGNAL O B-SPATIAL_ENTITY O	O O O O O O O B-trajector O B-trigger O O B-landmark O O O O O O O O O O O O O
13 13	After camping two nights at 14,000 feet overlooking a huge glacier , I mounted my bike and crossed a 16,000 ft mountain pass , the highest in Peru .	O B-NONMOTION_EVENT O O B-SPATIAL_SIGNAL B-MEASURE I-MEASURE B-SPATIAL_SIGNAL O O B-PATH O B-SPATIAL_ENTITY B-MOTION O B-SPATIAL_ENTITY O B-MOTION O B-MEASURE I-MEASURE O B-PATH O O O B-SPATIAL_SIGNAL B-PLACE O	O O O O O O O O O O O O B-mover B-trigger O O O O O O O O O O O O O O O
3 3	We were now at almost 1.5 km from the confluence and had to find a way to get closer again .	B-SPATIAL_ENTITY O O B-SPATIAL_SIGNAL B-MEASURE I-MEASURE I-MEASURE O O B-PLACE O O O O O B-PATH O B-MOTION B-MOTION_SIGNAL O O	B-trajector O O B-trigger O O O O O O O O O O O O O O O O O
21 21	In the next few decades , cities like Lima have a choice – support individual car use , or support mass transit and non-motorized transit .	O O O O O O B-PLACE O B-PLACE O O O O O O B-MOTION_SIGNAL B-MOTION O O O B-MOTION_SIGNAL B-MOTION O B-MOTION_SIGNAL B-MOTION O	O O O O O O O O O O O O O O O O O O O O O B-trigger O O O O
23 23	On the museum grounds — or , more correctly , under the ground — is a careful reproduction of the painted scenes discovered in a cave in Altamira in northern Spain : prehistoric depictions of animals , dating back 15,000 years and representing man ’s first illustrations of the world around him .	B-SPATIAL_SIGNAL O O B-PLACE O O O O O O B-SPATIAL_SIGNAL O B-PATH O O O O B-SPATIAL_ENTITY O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL B-PLACE B-SPATIAL_SIGNAL O B-PLACE O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O B-trajector B-trigger O B-landmark O O O O O O O O O O O O O O O O O O O O O O O O O O O
26 26	After camping two nights at 14,000 feet overlooking a huge glacier , I mounted my bike and crossed a 16,000 ft mountain pass , the highest in Peru .	O B-NONMOTION_EVENT O O B-SPATIAL_SIGNAL B-MEASURE I-MEASURE B-SPATIAL_SIGNAL O O B-PATH O B-SPATIAL_ENTITY B-MOTION O B-SPATIAL_ENTITY O B-MOTION O B-MEASURE I-MEASURE O B-PATH O O O B-SPATIAL_SIGNAL B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O B-trajector O O O B-trigger B-landmark O
23 23	Getting back to the paved road we decided not to go back to Ciucea but to go on to Romanasi , where we met Road 1F/E81 .	B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL O O B-PATH B-SPATIAL_ENTITY O O O B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL B-PLACE O O B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL B-PLACE O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY B-MOTION B-PATH I-PATH O	O O O O O O O O O O O O O O O O O O O O O O B-mover B-trigger O O O
7 7	Baja California is one of the places in the world where bicycle tourists congregate .	B-PLACE I-PLACE O B-PLACE O O B-PLACE B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL O B-SPATIAL_ENTITY B-MOTION O	O O O B-trajector O O B-trajector B-trigger O B-landmark O O O O O
12 12	Near the bottom I saw a black and yellow salamander trying to squeeze itself under a stone .	O O B-PLACE B-SPATIAL_ENTITY O O O O O B-SPATIAL_ENTITY O O B-MOTION B-SPATIAL_ENTITY B-MOTION_SIGNAL O B-SPATIAL_ENTITY O	O O O O O O O O O O O O B-trigger B-mover O O O O
15 15	Plans change , though , and when he arrived , I told him we were biking 50 miles inland .	O O O O O O O B-SPATIAL_ENTITY B-MOTION O B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY O B-MOTION B-MEASURE I-MEASURE B-MOTION_SIGNAL O	O O O O O O O O O O O O O B-mover O B-trigger O O O O
0 0	Across the Paseo del Prado is the Museo Thyssen-Bor­nemizsa , a recent addition to Madrid ’s already impressive art collections housed in the Palacio de Villahermosa .	B-SPATIAL_SIGNAL O B-PATH I-PATH I-PATH O O B-PLACE I-PLACE O O O O O B-PLACE O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE I-PLACE I-PLACE O	B-trigger O B-landmark I-landmark I-landmark O O B-trajector I-trajector O O O O O O O O O O O O O O O O O O
18 18	In exchange , the captain told me I could be first mate , which meant I got to get on the boat a day early and sand the floors .	O O O O O O B-SPATIAL_ENTITY B-SPATIAL_ENTITY O O O O O O O B-SPATIAL_ENTITY O O B-MOTION B-MOTION_SIGNAL O B-SPATIAL_ENTITY O O O O O O O O	O O O O O O O O O O O O O O O B-mover O O B-trigger O O O O O O O O O O O
12 12	Arriving upstream , Peru , Colombia , and Brazil 's borders all meet , and in the course of a day , I visited all three before boarding another boat , this time a high speed cruiser ( shown left below ) to take a one day trip to Iquitos ( map ) .	B-MOTION B-MOTION_SIGNAL O O O O O O O O B-PATH O B-MOTION O O O O O O O O O B-SPATIAL_ENTITY B-MOTION O B-PATH O B-MOTION O B-SPATIAL_ENTITY O O O O O O O O O O O O O O O O O B-MOTION B-MOTION_SIGNAL B-PLACE O O O O	O O O O O O O O O O B-mover O B-trigger O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
20 20	I pedaled an easy 30 flat miles the next day , arriving in the town of Concordia at the foothills of the mountains .	B-SPATIAL_ENTITY B-MOTION O O B-MEASURE I-MEASURE I-MEASURE O O O O B-MOTION B-MOTION_SIGNAL O B-PLACE O B-PLACE B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL O B-PLACE O	O O O O O O O O O O O O O O O O O O O B-trajector B-trigger O B-landmark O
20 20	My friend Dennis Murphree was flying into the Belize City airport that afternoon , and I planned to bike and meet him .	O O B-SPATIAL_ENTITY I-SPATIAL_ENTITY O B-MOTION B-MOTION_SIGNAL O B-PLACE I-PLACE B-PLACE O O O O B-SPATIAL_ENTITY O O B-MOTION O B-MOTION B-SPATIAL_ENTITY O	O O O O O O O O O O O O O O O B-mover O O O O B-trigger O O
4 4	So we had to park the car about 700 m far from N45E23 at the edge of a forest .	O B-SPATIAL_ENTITY O O B-MOTION O B-SPATIAL_ENTITY B-MEASURE I-MEASURE I-MEASURE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL B-PLACE B-SPATIAL_SIGNAL O B-PATH B-SPATIAL_SIGNAL O B-PLACE O	O O O O B-trigger O B-mover O O O O O O O O O O O O O
7 7	My friend Dave Johnson flew in to join me for this section ( and brought the new bike fork â € “ see last entry ) .	O O B-SPATIAL_ENTITY I-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-MOTION B-SPATIAL_ENTITY O O O O O O O O O O O O O O O O O O	O O B-mover I-mover O O O B-trigger O O O O O O O O O O O O O O O O O O O
23 23	Across the Andes to Huaraz – Horse assisted bike touring Wednesday , September 27th , 2006 From Uchiza , on the east side of the Andes , I had planned to take a road which turned out to be only a horse trail .	O O O O O O O O O O O O O O O O O B-PLACE O B-SPATIAL_SIGNAL O O B-PLACE B-SPATIAL_SIGNAL O B-PATH O B-SPATIAL_ENTITY O O O B-MOTION O B-PATH O O O O O O O O B-PATH O	O O O O O O O O O O O O O O O O O O O O O O B-trajector B-trigger O B-landmark O O O O O O O O O O O O O O O O O O
14 15	21-Aug-2005 -- Continued from 45N 29E - The second point is further north – away from the Danube delta and very close to the Moldovan border .	O O O O O O O O O B-PLACE O O B-SPATIAL_SIGNAL O B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O B-PLACE I-PLACE O B-MEASURE I-MEASURE O O B-PATH I-PATH O	O O O O O O O O O B-trajector O O O O B-trigger I-trigger O B-landmark I-landmark O O O O O O O O
3 3	We try to drive near on the wood-cutting tracks as close as possible , and after approx .	B-SPATIAL_ENTITY O O B-MOTION B-MEASURE B-MOTION_SIGNAL O O B-PATH O O O O O O O O O	B-mover O O B-trigger O O O O O O O O O O O O O O
17 17	You can contribute to this project here , or check our schedule to see if we are biking near you .	O O O O O O O O O O O O O O O B-SPATIAL_ENTITY O B-MOTION O B-SPATIAL_ENTITY O	O O O O O O O O O O O O O O O B-mover O B-trigger O O O
9 9	Huaraz to Lima Sunday , October 15th , 2006 Leaving Huaraz , I climbed a 13,500 ft pass , camped one more night in the mountains , and then , in one day , descending to the coast ( see map ) .	O O O O O O O O O B-MOTION B-PLACE O B-SPATIAL_ENTITY B-MOTION O B-MEASURE I-MEASURE B-PATH O B-NONMOTION_EVENT O O O B-SPATIAL_SIGNAL O B-PLACE O O O O O O O O B-MOTION B-MOTION_SIGNAL O B-PATH O O O O O	O O O O O O O O O B-trigger O O B-mover O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
13 13	But it is also clear that there are great benefits to being alone on the road .	O O O O O O O O O O O B-NONMOTION_EVENT B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PATH O	O O O O O O O O O O O B-trajector B-trajector B-trigger O B-landmark O
4 4	I also spent time in the city of Cusco , the former capital of the Incan empire .	B-SPATIAL_ENTITY O B-NONMOTION_EVENT O B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL B-PLACE O O O B-PLACE B-SPATIAL_SIGNAL O O B-PLACE O	O O B-trajector O B-trigger O B-landmark O O O O O O O O O O O
10 10	The boat did make a few stops in small towns along the way , unloading goods and picking up passengers .	O B-SPATIAL_ENTITY O O O O B-MOTION B-MOTION_SIGNAL O B-PLACE B-SPATIAL_SIGNAL O B-PATH O O O O O O O O	O O O O O O O O O B-trajector B-trigger O B-landmark O O O O O O O O
8 8	Leaving at 3.30 pm on Friday afternoon I covered 500 km on Fri eve and then after sleeping in the car I arrived near the confluence at around noon .	B-MOTION O O O O O O B-SPATIAL_ENTITY B-MOTION B-MEASURE I-MEASURE O O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-SPATIAL_ENTITY B-SPATIAL_ENTITY B-MOTION B-MEASURE O B-PLACE O O O O	O O O O O O O B-mover B-trigger O O O O O O O O O O O O O O O O O O O O O
1 1	I pedaled an easy 30 flat miles the next day , arriving in the town of Concordia at the foothills of the mountains .	B-SPATIAL_ENTITY B-MOTION O O B-MEASURE I-MEASURE I-MEASURE O O O O B-MOTION B-MOTION_SIGNAL O B-PLACE O B-PLACE B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL O B-PLACE O	B-mover B-trigger O O O O O O O O O O O O O O O O O O O O O O
23 23	All of the water for the city comes from the mountains , where it falls as rain or snow and then melts , filling the rivers .	O O O B-SPATIAL_ENTITY B-MOTION_SIGNAL O B-PLACE B-MOTION B-MOTION_SIGNAL O B-PLACE O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY B-MOTION O O O O O O B-NONMOTION_EVENT O B-MOTION O B-PATH O	O O O B-mover O O O O O O O O O O O O O O O O O O O B-trigger O O O
24 24	The city is flat , never rains , and has a cool comfortable climate â € “ it is a perfect place for bicycle use , yet the infrastructure to do so is poor .	O B-PLACE O O O O B-NONMOTION_EVENT O O B-SPATIAL_SIGNAL O O O B-NONMOTION_EVENT O O O B-PLACE O O O B-PLACE O B-MOTION_SIGNAL B-MOTION O O O B-NONMOTION_EVENT O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O B-trigger O O O O O O O O O O
9 9	I now have personal connections with so many people across the two continents â € “ people whose houses I stayed in or camped next to .	B-SPATIAL_ENTITY O O O O O O O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O O B-PLACE O O O O O B-PLACE B-SPATIAL_ENTITY B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-NONMOTION_EVENT B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O	O O O O O O O O B-trajector B-trigger O O B-landmark O O O O O O O O O O O O O O
23 23	We crossed many villages , but the confluence approached by a very small rate : while we were driving one kilometer the confluence approached by half a kilometer .	B-SPATIAL_ENTITY B-MOTION O B-PLACE O O O B-PLACE B-MOTION B-MOTION_SIGNAL I-MOTION_SIGNAL I-MOTION_SIGNAL I-MOTION_SIGNAL I-MOTION_SIGNAL O O B-SPATIAL_ENTITY O B-MOTION B-MEASURE I-MEASURE O B-PLACE B-MOTION O O O O O	O O O O O O O O O O O O O O O O B-mover O O O O O O B-trigger O O O O O
0 0	In this region fierce battles took place in the year 1917 ( Marasti , Marasesti , Oituz ) between the Romanian and Russian armies , on one side and the German and Austro-Hungarian ones , on the other .	B-SPATIAL_SIGNAL O B-PLACE O B-NONMOTION_EVENT O O O O O O O B-NONMOTION_EVENT O B-NONMOTION_EVENT O B-NONMOTION_EVENT O O O O O O O O O O O O O O O O O O O O O O	B-trigger O B-landmark O B-trajector O O O O O O O B-trajector O B-trajector O B-trajector O O O O O O O O O O O O O O O O O O O O O O
7 7	What will happen to the people living in these valleys ?	O O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE O	O O O O O O B-trajector B-trigger O B-landmark O
14 14	The closest area of the road to the confluence ( 4.8 km ) is in the vicinity of the Ecaterina Teodoroiu monument ( Romanian female hero of the First World War ) .	O O B-PATH O O B-PATH B-SPATIAL_SIGNAL O B-PLACE O B-MEASURE I-MEASURE O O B-SPATIAL_SIGNAL O B-PLACE O O B-PLACE I-PLACE I-PLACE O O O O O O O O O O O	O O B-trajector O O O O O O O O O O O B-trigger O B-landmark O O O O O O O O O O O O O O O O
9 9	Every Sunday in Medellin , they have the 'ciclovia,' where a number of roads are closed to cars ( see video on left ) .	O O B-SPATIAL_SIGNAL B-PLACE O O O O O B-SPATIAL_SIGNAL O O O B-PATH O O O O O O O O O O O	O O O B-landmark O O O O O B-trigger O O O B-trajector O O O O O O O O O O O
36 37	On 26th of December the four of us - me , my wife Judit , her father Apja and her friend Andrea - went for discovering this confluence in the Bodok mountains , only 23 km apart from Sepsiszentgyörgy .	O O O O O O O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O O O B-SPATIAL_ENTITY O O O B-SPATIAL_ENTITY O O O B-SPATIAL_ENTITY O B-MOTION O B-MOTION O B-PLACE B-SPATIAL_SIGNAL O B-PATH I-PATH O O B-MEASURE I-MEASURE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O O O B-trajector O O O O O O O O B-trigger I-trigger B-landmark O
5 5	But the ecosystem is already at the mountaintops , with nowhere to go , and the region is at risk .	O O B-SPATIAL_ENTITY O O B-SPATIAL_SIGNAL O B-PLACE O O O O O O O O O O O O O	O O B-trajector O O B-trigger O B-landmark O O O O O O O O O O O O O
5 5	I also found that staying at the house of a newspaper editor is the best way to get in the news ( nice article written by Jose on the right ) .	B-SPATIAL_ENTITY O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE O O O O O O O O O O O O O O O O O O O O O O O O	O O O O B-trajector B-trigger O B-landmark O O O O O O O O O O O O O O O O O O O O O O O O
0 0	Getting back to the paved road we decided not to go back to Ciucea but to go on to Romanasi , where we met Road 1F/E81 .	B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL O O B-PATH B-SPATIAL_ENTITY O O O B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL B-PLACE O O B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL B-PLACE O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY B-MOTION B-PATH I-PATH O	B-trigger O O O O O B-mover O O O O O O O O O O O O O O O O O O O O
